Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Electricidad y gas,5.27,1.63,1.81,280.22,6.49,19.55,10.46,43.33,10.98,0.0,73.69,25.5,6.74,5.8,26.2,12.15,35.41,4.03,3.95,25.63,40.89,23.21,94.36,7.98,0.18,0.0,4.67,0.23,0.23,0.57,0,0.96,5.15,219.95,3.71,18.31,17.68,14.89,24.93,240.44,1317.1800000000003,0.0,454.050705390492,5.497803395489866,2.423254269319159,1779.1517630553014
Construcción,1.35,0.45,7.05,60.58,0.59,1.26,0.82,3.92,3.61,0.01,1.95,2.83,0.53,1.42,1.01,4.67,1.71,4.97,2.7,2.06,1.08,2.32,5.32,2.35,0.07,0.07,1.0,0.05,0.09,0.49,0,0.55,1.38,2.42,122.35,17.8,26.89,18.98,39.66,224.42,570.78,6.9522600173950195,190.15128431834052,7056.633584546308,-0.08039150590138888,7824.436737376142
Transporte,82.05,8.51,103.09,734.91,24.44,21.98,12.47,154.82,59.24,0.0,25.98,27.47,6.15,34.19,17.18,51.8,32.64,30.61,10.09,25.46,67.95,18.46,48.57,26.0,0.22,0.28,13.93,0.25,0.28,1.96,0,1.82,125.84,83.27,148.98,906.56,72.71,32.52,98.88,1564.56,4676.12,467.6108572943381,3053.6903972527994,2.527644832985386,-21.37994174146479,8178.568957638659
Correo y telecomunicaciones,0.22,2.62,6.93,18.44,0.7,1.06,1.59,8.64,3.28,0.0,6.3,7.2,1.15,1.21,2.48,1.89,0.8,7.25,1.8,0.73,2.97,1.02,1.63,4.41,0.01,0.22,3.09,0.39,0.02,0.4,0,0.42,1.68,4.28,10.61,54.63,400.83,117.05,182.42,436.65,1297.02,113.66070030025804,1665.8695671850992,8.567071237818002,-2.013352699582356,3083.1039860235924
Finanzas y seguros,29.37,41.09,38.83,267.73,8.07,21.31,21.95,103.5,18.15,0.0,40.72,29.15,2.91,5.8,12.24,17.96,12.57,36.11,12.13,28.72,46.36,13.23,54.61,19.2,0.92,0.25,9.08,0.24,0.01,1.59,0,1.62,8.93,69.2,65.5,139.09,55.07,186.93,74.86,682.38,2177.38,214.22823141044194,1022.1664064436428,0.5927133625751777,-194.70649814618673,3219.660853070473
Servicios a empresas de todo tipo,20.26,7.1,69.63,137.36,8.49,19.64,13.62,61.97,57.89,0.17,30.03,43.41,8.19,4.57,27.6,15.77,26.85,65.66,42.66,28.71,17.12,8.08,31.1,36.69,1.14,1.07,15.99,0.91,1.41,7.79,0,8.64,22.44,35.91,171.83,281.86,312.28,203.89,653.6,1167.59,3668.92,97.31132465207924,2060.1327739326907,88.0882029789081,8.206581226525486,5922.658882790204
Otros servicios,212.38,50.19,102.34,576.5,122.96,153.69,36.76,477.55,122.72,0.47,212.53,292.16,58.43,117.8,126.07,35.0,70.84,131.02,90.75,98.14,149.76,116.86,174.09,154.73,2.19,2.59,53.86,1.64,6.37,17.31,0,21.87,139.51,63.03,646.26,1066.33,316.62,213.41,793.68,2803.44,9831.85,669.1833628901113,25111.450236480312,745.8024820450396,114.4716178937233,36472.757699309186
Usos Nacionales a PB,1344.58,328.21999999999997,784.5900000000001,3546.24,1739.0900000000004,1421.7799999999997,338.4799999999999,3175.34,553.93,0.65,1115.1999999999996,1421.7500000000005,281.0,659.6999999999999,749.95,1183.3400000000001,304.06,610.9799999999999,280.39,416.99999999999994,765.2700000000001,285.75000000000006,3181.8800000000015,520.7900000000001,25.790000000000006,10.78,365.82000000000005,6.329999999999999,17.47,65.91000000000001,0,79.2,1515.9000000000005,741.93,3475.04,3710.66,1299.85,868.07,2356.64,10729.56,,,,,,
Importaciones FOB Socios Matriz,130.22808303240663,17.230322871769836,36.28186331379683,133.83181832555059,23.11577787701288,164.5260853235919,17.609464482740943,281.4548146150348,101.35210970356655,0.011876258071215062,73.76690941483923,40.427970511758915,9.47406096477799,15.965469561166845,139.38664252215543,1442.4174385454112,44.038253499984584,98.17493647037689,20.28452112697903,180.33809023518842,41.01076960491781,51.73616444331444,49.22541782134592,118.41092531244726,2.835665786973655,0.5632844928064218,41.48169785475465,0.08021109170193341,1.3303821526439377,9.167150306158739,0,7.725875785928479,48.15334215632071,13.317544279601973,160.62426141352836,151.62460520234671,10.4636978878256,6.765298878979823,40.71818373393516,176.2717146301788,,,,,,
Importaciones FOB RdM,280.20897613215493,53.680319928144115,106.8978122859096,399.1847494896981,23.06362493572167,164.77338496851607,18.80204244376007,184.19345853503873,66.21260539523172,0.21225617182528822,155.36555817567142,89.0525066854557,16.80814793579927,10.636113522013474,167.69369539246298,470.26130948793656,93.87988576530608,202.54055289489347,57.73481836892517,403.30829904640314,80.16986617779513,96.77006045819495,88.02993274410957,193.2872369063308,4.950753203929025,16.91704472715749,80.0010007558433,1.870722000799617,10.862438798445075,22.22792010121396,0,17.39598450003813,90.56848168171979,43.73392075103479,353.8597017645062,481.15739512220074,165.47784390107222,162.29994628712603,177.7048185740984,765.3575793908702,,,,,,
Fletes y seguros,72.83999633789062,23.239999771118164,34.27000045776367,230.5399932861328,23.010000228881836,81.43000030517578,8.130000114440918,87.01000213623047,18.280000686645508,0.23999999463558197,37.11000061035156,61.84000015258789,12.600000381469727,16.06999969482422,32.869998931884766,10.470000267028809,5.880000114440918,15.960000038146973,6.610000133514404,32.70000076293945,16.670000076293945,8.84000015258789,25.739999771118164,39.33000183105469,0.23999999463558197,0.0,7.550000190734863,0.0,0.0,3.059999942779541,0,2.5899999141693115,60.369998931884766,12.899999618530273,177.2899932861328,266.75,10.470000267028809,56.33000183105469,55.02000045776367,617.8800048828125,,,,,,
Impuestos sobre Prod. Nac.,52.55972450222032,4.800170135662768,8.921335285650912,38.83078069999135,8.352537497482345,67.08879425824733,3.7081118036954948,66.39127922993208,24.426362908140533,0.00039379594490185355,26.596660369078762,11.134825216276312,2.3217872960277965,2.9144828039270756,28.460184386258277,115.73937535355981,15.512457300481856,27.790873025682174,6.694175280564721,62.948243427451075,20.557024189344858,15.091439319776299,28.146379882400765,28.13049815261678,0.5514120828872926,0.7705028105041265,9.43439878957679,0.07886923388553413,0.6506290397715624,2.4054074208921996,0,2.154699310799238,14.037471776597215,7.160318776618013,45.00275670772078,35.12704123745368,5.222441221083557,1.295637926034459,9.165933582756622,45.22906507817993,,,,,,
Usos a PC,1880.4167800046725,427.17081270669485,970.9610113431212,4348.6273418013725,1816.6319405390993,1899.5982648555307,386.7296188446373,3794.389554516236,764.2010786935842,1.114526220476987,1408.0391285699407,1624.2053025660794,322.20399657807485,705.2860655819316,1118.3605212327616,3222.2281236539366,463.37059668021345,955.4463624290995,371.7135149099833,1096.2946334719818,923.6776600483518,458.18766437387364,3373.021730218976,899.9486622024497,34.36783106842556,29.030832030468037,504.28709759090964,8.359802326387083,30.313449990860573,102.77047777104445,0,109.06655951093515,1729.0292945465228,819.0417834257851,4211.816713171888,4645.319041562,1491.48398327701,1094.7608849231951,2639.248936348554,12334.29836398204,,,,,,
VAB a PB,4402.220100104809,562.5300061702728,1525.7500095367432,9929.519804954529,327.09999817609787,662.0899902582169,140.6500037908554,1460.9400024414062,386.5799970626831,0.6899999976158142,773.6500084400177,909.449990272522,209.86000061035156,456.8600137233734,660.3999962806702,418.45001316070557,175.67000317573547,561.819981098175,239.29999721050262,417.5999987125397,738.1199860572815,202.44999516010284,2155.43998670578,446.59000301361084,10.960000038146973,10.309999942779541,244.39000272750854,5.460000038146973,10.920000076293945,65.98999923467636,0,69.18000030517578,1403.7800085395575,960.1099796295166,3612.620024204254,3533.24991607666,1591.620002746582,2124.899968147278,3283.4099464416504,24138.45933532715,,,,,,
VBP a PB,6282.636880109481,989.7008188769677,2496.7110208798645,14278.147146755902,2143.7319387151974,2561.688255113748,527.3796226354928,5255.329556957642,1150.7810757562675,1.8045262180928012,2181.6891370099584,2533.6552928386013,532.0639971884264,1162.146079305305,1778.7605175134318,3640.678136814642,639.0405998559489,1517.2663435272746,611.013512120486,1513.8946321845215,1661.7976461056332,660.6376595339765,5528.461716924756,1346.5386652160605,45.32783110657253,39.340831973247575,748.6771003184182,13.819802364534056,41.23345006715452,168.76047700572082,0,178.24655981611093,3132.80930308608,1779.1517630553017,7824.436737376142,8178.56895763866,3083.1039860235924,3219.660853070473,5922.658882790204,36472.757699309186,,,,,,
